restaurant_id,restaurant_name,city,cuisine,review_id,text,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
1,Express's Desserts Eatery,Delhi,North Indian,1_0,Great ambiance and friendly staff. Highly recommend the pizza.,0.8777,0.627,0.0,0.373,Positive
1,Express's Desserts Eatery,Delhi,North Indian,1_1,Great ambiance and friendly staff. Highly recommend the dal makhani.,0.8777,0.59,0.0,0.41,Positive
1,Express's Desserts Eatery,Delhi,North Indian,1_2,Amazing North Indian food! The tacos was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
2,Urban's Thai Kitchen,Jaipur,Japanese,2_0,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
2,Urban's Thai Kitchen,Jaipur,Japanese,2_1,Long wait times and rude staff. Food quality was mediocre.,-0.4588,0.0,0.25,0.75,Negative
2,Urban's Thai Kitchen,Jaipur,Japanese,2_2,The tacos was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
3,Modern's Mughlai Express,Pune,Biryani,3_0,Average place for a quick meal. pizza was acceptable.,0.3182,0.247,0.0,0.753,Positive
3,Modern's Mughlai Express,Pune,Biryani,3_1,Poor service and the dosa was nothing special.,-0.6551,0.0,0.472,0.528,Negative
3,Modern's Mughlai Express,Pune,Biryani,3_2,"Decent Biryani food. The tacos was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
4,Fusion's Cafe Zone,Hyderabad,Mughlai,4_0,Cozy place with authentic Mughlai flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
4,Fusion's Cafe Zone,Hyderabad,Mughlai,4_1,Great ambiance and friendly staff. Highly recommend the tacos.,0.8777,0.627,0.0,0.373,Positive
4,Fusion's Cafe Zone,Hyderabad,Mughlai,4_2,Loved the sushi. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
5,Bistro Zone,Jaipur,Italian,5_0,The noodles was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
5,Bistro Zone,Jaipur,Italian,5_1,Loved the paneer tikka. Fresh ingredients and generous portions.,0.8591,0.613,0.0,0.387,Positive
5,Bistro Zone,Jaipur,Italian,5_2,Outstanding quality. The burger exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
6,Urban's Street Food Grill,Bangalore,Italian,6_0,Average place for a quick meal. dal makhani was acceptable.,0.3182,0.223,0.0,0.777,Positive
6,Urban's Street Food Grill,Bangalore,Italian,6_1,Best Italian restaurant in Bangalore. Worth every rupee!,0.75,0.516,0.0,0.484,Positive
6,Urban's Street Food Grill,Bangalore,Italian,6_2,Amazing Italian food! The curry was perfectly cooked and full of flavor.,0.8516,0.453,0.0,0.547,Positive
7,Fusion Zone,Kolkata,Biryani,7_0,"Decent Biryani food. The thali was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
7,Fusion Zone,Kolkata,Biryani,7_1,Expected better Biryani food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
7,Fusion Zone,Kolkata,Biryani,7_2,Five stars for the burger and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
8,Spice's Mughlai Lounge,Chennai,Fast Food,8_0,Nothing special but not bad either. Typical Fast Food fare.,0.4847,0.282,0.122,0.597,Positive
8,Spice's Mughlai Lounge,Chennai,Fast Food,8_1,Best Fast Food restaurant in Chennai. Worth every rupee!,0.75,0.477,0.0,0.523,Positive
8,Spice's Mughlai Lounge,Chennai,Fast Food,8_2,Average at best. There are better Fast Food places in Chennai.,0.7964,0.441,0.0,0.559,Positive
9,Heritage's Desserts Tales,Chennai,Italian,9_0,Overpriced for the portion size. Not worth visiting again.,-0.1695,0.0,0.172,0.828,Negative
9,Heritage's Desserts Tales,Chennai,Italian,9_1,Outstanding quality. The pasta exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
9,Heritage's Desserts Tales,Chennai,Italian,9_2,Five stars for the sushi and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
10,Modern Delight,Hyderabad,Desserts,10_0,Average place for a quick meal. fried rice was acceptable.,0.3182,0.223,0.0,0.777,Positive
10,Modern Delight,Hyderabad,Desserts,10_1,Great ambiance and friendly staff. Highly recommend the pizza.,0.8777,0.627,0.0,0.373,Positive
10,Modern Delight,Hyderabad,Desserts,10_2,Loved the burger. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
11,Heritage Lounge,Mumbai,Italian,11_0,Outstanding quality. The noodles exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
11,Heritage Lounge,Mumbai,Italian,11_1,Outstanding quality. The tacos exceeded my expectations.,0.6124,0.4,0.0,0.6,Positive
11,Heritage Lounge,Mumbai,Italian,11_2,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
12,Taste Zone,Kolkata,Thai,12_0,Cozy place with authentic Thai flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
12,Taste Zone,Kolkata,Thai,12_1,Loved the pizza. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
12,Taste Zone,Kolkata,Thai,12_2,Best Thai restaurant in Kolkata. Worth every rupee!,0.75,0.516,0.0,0.484,Positive
13,Fusion Junction,Delhi,Continental,13_0,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
13,Fusion Junction,Delhi,Continental,13_1,Average at best. There are better Continental places in Delhi.,0.7964,0.47,0.0,0.53,Positive
13,Fusion Junction,Delhi,Continental,13_2,"Decent Continental food. The tacos was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
14,Royal's Mughlai World,Kolkata,Mexican,14_0,Excellent service and quick delivery. The curry is a must-try.,0.5719,0.316,0.0,0.684,Positive
14,Royal's Mughlai World,Kolkata,Mexican,14_1,Nothing special but not bad either. Typical Mexican fare.,0.4847,0.304,0.131,0.564,Positive
14,Royal's Mughlai World,Kolkata,Mexican,14_2,"Decent Mexican food. The biryani was okay, nothing extraordinary.",0.2263,0.192,0.0,0.808,Positive
15,Garden's Italian House,Jaipur,Chinese,15_0,The dosa tasted stale. Hygiene standards need improvement.,0.4588,0.3,0.0,0.7,Positive
15,Garden's Italian House,Jaipur,Chinese,15_1,Loved the paneer tikka. Fresh ingredients and generous portions.,0.8591,0.613,0.0,0.387,Positive
15,Garden's Italian House,Jaipur,Chinese,15_2,Not recommended. Found hair in my food during visit.,-0.1511,0.0,0.166,0.834,Negative
16,Classic's Italian Point,Pune,Italian,16_0,Great ambiance and friendly staff. Highly recommend the fried rice.,0.8777,0.59,0.0,0.41,Positive
16,Classic's Italian Point,Pune,Italian,16_1,Great ambiance and friendly staff. Highly recommend the butter chicken.,0.8777,0.59,0.0,0.41,Positive
16,Classic's Italian Point,Pune,Italian,16_2,Excellent service and quick delivery. The dosa is a must-try.,0.5719,0.316,0.0,0.684,Positive
17,Express Grill,Pune,Mexican,17_0,Expected better Mexican food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
17,Express Grill,Pune,Mexican,17_1,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
17,Express Grill,Pune,Mexican,17_2,Great ambiance and friendly staff. Highly recommend the thali.,0.8777,0.627,0.0,0.373,Positive
18,Classic Garden,Lucknow,Italian,18_0,Expected better Italian food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
18,Classic Garden,Lucknow,Italian,18_1,Five stars for the biryani and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
18,Classic Garden,Lucknow,Italian,18_2,Cozy place with authentic Italian flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
19,Kitchen's Cafe Eatery,Ahmedabad,Fast Food,19_0,Poor service and the pasta was nothing special.,-0.6551,0.0,0.472,0.528,Negative
19,Kitchen's Cafe Eatery,Ahmedabad,Fast Food,19_1,Disappointing experience. The pasta was cold and bland.,-0.4939,0.0,0.314,0.686,Negative
19,Kitchen's Cafe Eatery,Ahmedabad,Fast Food,19_2,Amazing Fast Food food! The kebab was perfectly cooked and full of flavor.,0.8516,0.43,0.0,0.57,Positive
20,House Corner,Delhi,Thai,20_0,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
20,House Corner,Delhi,Thai,20_1,Standard restaurant experience. Prices are reasonable.,0.0,0.0,0.0,1.0,Neutral
20,House Corner,Delhi,Thai,20_2,Cozy place with authentic Thai flavors. Will visit again!,0.0,0.0,0.0,1.0,Neutral
21,Taste's Japanese Point,Delhi,Japanese,21_0,Loved the fried rice. Fresh ingredients and generous portions.,0.8591,0.613,0.0,0.387,Positive
21,Taste's Japanese Point,Delhi,Japanese,21_1,Loved the noodles. Fresh ingredients and generous portions.,0.8591,0.655,0.0,0.345,Positive
21,Taste's Japanese Point,Delhi,Japanese,21_2,Great ambiance and friendly staff. Highly recommend the paneer tikka.,0.8777,0.59,0.0,0.41,Positive
22,House Story,Jaipur,Thai,22_0,Expected better Thai food. Very underwhelming.,0.4404,0.367,0.0,0.633,Positive
22,House Story,Jaipur,Thai,22_1,Five stars for the biryani and the warm hospitality.,0.2263,0.192,0.0,0.808,Positive
22,House Story,Jaipur,Thai,22_2,The momos was fine. Ambiance could use some improvement.,0.5859,0.407,0.0,0.593,Positive
