restaurant_id,name,city,cuisine,rating,votes,cost_for_two,delivery_time_mins,online_order_pct,table_booking,has_bar,parking_available
1,Express's Desserts Eatery,Delhi,North Indian,4.0,3290,1046,37,0.75,False,True,True
2,Urban's Thai Kitchen,Jaipur,Japanese,2.6,4300,928,59,0.79,True,False,False
3,Modern's Mughlai Express,Pune,Biryani,3.6,2590,561,53,0.54,True,True,True
4,Fusion's Cafe Zone,Hyderabad,Mughlai,4.3,2279,1102,45,0.83,True,True,False
5,Bistro Zone,Jaipur,Italian,4.1,2279,660,23,0.34,False,False,False
6,Urban's Street Food Grill,Bangalore,Italian,4.3,2795,1067,45,0.79,False,False,False
7,Fusion Zone,Kolkata,Biryani,3.4,386,1032,37,0.81,True,False,False
8,Spice's Mughlai Lounge,Chennai,Fast Food,3.6,4470,567,38,0.33,False,False,True
9,Heritage's Desserts Tales,Chennai,Italian,4.0,3729,1266,56,0.93,True,False,False
10,Modern Delight,Hyderabad,Desserts,3.5,3736,1013,34,0.61,True,False,False
11,Heritage Lounge,Mumbai,Italian,4.5,2341,1098,47,0.45,True,True,True
12,Taste Zone,Kolkata,Thai,4.2,2404,1165,37,0.84,True,False,False
13,Fusion Junction,Delhi,Continental,3.1,531,1121,50,0.82,False,False,True
14,Royal's Mughlai World,Kolkata,Mexican,3.9,4169,1087,31,0.74,False,False,True
15,Garden's Italian House,Jaipur,Chinese,3.9,4172,493,52,0.81,True,False,False
16,Classic's Italian Point,Pune,Italian,4.2,86,1016,48,0.81,True,True,False
17,Express Grill,Pune,Mexican,3.5,2552,928,21,0.37,True,False,False
18,Classic Garden,Lucknow,Italian,3.3,741,876,38,0.67,False,True,False
19,Kitchen's Cafe Eatery,Ahmedabad,Fast Food,3.6,2894,581,42,0.66,False,False,True
20,House Corner,Delhi,Thai,4.3,2790,1369,21,0.58,False,False,True
21,Taste's Japanese Point,Delhi,Japanese,4.3,1418,1427,59,0.45,False,False,True
22,House Story,Jaipur,Thai,3.2,4274,959,31,0.49,False,True,False
23,Cafe's Fast Food Junction,Lucknow,Italian,4.2,675,815,40,0.73,True,False,True
24,Cafe's Cafe Zone,Bangalore,Italian,3.6,3930,1214,52,0.41,True,False,False
25,Classic Delight,Hyderabad,Fast Food,3.6,575,453,50,0.6,True,False,False
26,House Corner,Ahmedabad,Biryani,3.5,3625,923,40,0.4,False,True,True
27,Palace's Continental Bites,Jaipur,Continental,4.1,2503,746,26,0.5,True,True,False
28,Express Kitchen,Ahmedabad,Mexican,3.8,1936,836,34,0.36,False,False,True
29,Spice's Thai Junction,Hyderabad,Japanese,3.0,1727,1725,34,0.75,False,False,True
30,Fusion's Biryani Zone,Chennai,Street Food,3.6,4547,720,58,0.81,True,False,False
31,Cafe's Japanese House,Jaipur,North Indian,4.2,3955,623,49,0.36,False,False,False
32,Heritage's Italian Delight,Chennai,Street Food,3.6,1397,417,38,0.43,False,False,False
33,Flavors's Desserts Junction,Bangalore,Continental,4.1,4052,1276,41,0.86,False,False,True
34,Kitchen's Thai Kitchen,Hyderabad,South Indian,3.8,925,894,48,0.58,True,False,True
35,Cafe's South Indian Corner,Mumbai,Mughlai,3.8,744,1280,23,0.35,True,False,True
36,Taste's Fast Food Garden,Chennai,Continental,3.9,3266,1254,21,0.62,True,False,False
37,Flavors's Fast Food Point,Hyderabad,South Indian,4.3,3319,644,47,0.68,True,False,False
38,Heritage's Mexican Eatery,Pune,Japanese,3.4,561,940,57,0.68,False,False,True
39,Express's Chinese Express,Lucknow,Street Food,3.0,3081,450,31,0.92,True,True,True
40,Corner's Cafe Kitchen,Ahmedabad,South Indian,3.2,162,681,51,0.35,False,False,True
41,House's North Indian Express,Mumbai,Chinese,5.0,3372,1191,37,0.67,True,False,True
42,Corner Express,Lucknow,Desserts,2.5,4692,635,30,0.52,True,False,False
43,Golden Hub,Chennai,Desserts,3.6,4256,686,31,0.84,True,False,True
44,House's North Indian House,Chennai,Biryani,3.9,156,879,25,0.66,False,False,True
45,Taste's Japanese Bites,Delhi,Italian,2.8,3346,1626,24,0.73,False,False,False
46,Royal Zone,Ahmedabad,South Indian,4.9,1442,944,50,0.37,True,False,True
47,Heritage's Mexican Garden,Chennai,Thai,3.5,4877,766,29,0.66,True,False,False
48,Palace's Chinese Lounge,Ahmedabad,Desserts,5.0,235,504,53,0.83,True,True,False
49,Classic Kitchen,Ahmedabad,Desserts,3.3,1053,810,45,0.63,True,False,True
50,Palace's Desserts House,Kolkata,Thai,3.8,1490,1201,57,0.41,False,False,False
51,Garden's Mughlai House,Hyderabad,Biryani,3.5,1529,853,58,0.88,True,False,True
52,Golden's Mughlai House,Ahmedabad,South Indian,4.7,4962,892,55,0.88,True,False,False
53,Urban's Desserts Lounge,Jaipur,Japanese,4.0,2374,774,20,0.73,False,False,False
54,Modern's Chinese World,Chennai,North Indian,4.5,3871,1112,23,0.79,True,False,True
55,Taste's Italian Zone,Hyderabad,Continental,3.9,76,1457,57,0.38,False,False,False
56,Corner's Italian Express,Kolkata,Mughlai,4.8,1242,985,26,0.42,True,True,False
57,Flavors's Chinese House,Lucknow,Street Food,4.7,3613,545,21,0.5,True,False,False
58,Golden's Italian Grill,Hyderabad,Chinese,4.2,1022,770,58,0.63,False,False,True
59,Urban's Biryani Corner,Kolkata,Mughlai,3.7,4675,458,26,0.39,False,False,False
60,Urban Lounge,Jaipur,Thai,4.2,1186,1027,24,0.63,False,True,True
61,Royal Point,Jaipur,Chinese,3.3,3842,691,36,0.82,True,False,False
62,Royal House,Ahmedabad,Italian,4.3,1038,607,49,0.39,False,True,False
63,Classic Tales,Bangalore,Street Food,3.5,4866,588,25,0.73,True,True,False
64,Corner's Fast Food Zone,Bangalore,South Indian,4.6,2468,1016,31,0.9,False,True,True
65,Palace's Thai Kitchen,Lucknow,South Indian,3.7,3004,626,25,0.37,True,True,False
66,Express's Italian Eatery,Lucknow,Chinese,3.9,3188,719,36,0.93,True,True,False
67,Golden Spot,Kolkata,Thai,4.9,948,1160,49,0.6,False,False,False
68,Flavors Point,Pune,Street Food,3.4,4031,715,20,0.37,True,True,False
69,Express's Cafe Delight,Jaipur,Italian,3.4,1290,1045,38,0.65,True,False,False
70,Golden Story,Chennai,North Indian,3.2,1201,1144,54,0.69,True,False,True
71,Corner's Italian Zone,Kolkata,Continental,3.5,638,809,57,0.72,True,False,False
72,Classic Garden,Jaipur,South Indian,2.7,2158,532,38,0.46,True,True,False
73,Cafe's Desserts Spot,Delhi,North Indian,3.0,4973,1316,53,0.37,True,False,True
74,Garden's Mexican Kitchen,Kolkata,Mexican,3.1,4092,808,43,0.4,True,True,True
75,Heritage's Street Food Bites,Pune,Italian,4.8,1627,882,56,0.9,True,True,False
76,Taste's South Indian Hub,Delhi,Chinese,4.1,762,797,31,0.4,False,False,True
77,Heritage's Fast Food House,Chennai,Continental,3.0,2724,629,48,0.41,True,True,False
78,Kitchen's Japanese Point,Bangalore,North Indian,3.5,324,943,43,0.74,True,False,False
79,Kitchen's Desserts Express,Kolkata,Street Food,3.9,4149,448,59,0.87,True,False,False
80,Kitchen Express,Kolkata,Chinese,3.4,2547,771,21,0.42,True,False,True
81,Classic Junction,Hyderabad,Thai,5.0,1178,827,45,0.57,False,False,True
82,Modern Tales,Bangalore,Mughlai,3.3,2877,605,34,0.64,False,False,False
83,Classic Garden,Ahmedabad,Mughlai,3.1,511,885,24,0.9,True,False,False
84,Palace's Japanese Point,Ahmedabad,Mughlai,2.8,307,887,53,0.89,True,False,False
85,Corner's Continental Grill,Mumbai,Japanese,3.1,1637,2085,43,0.72,True,True,False
86,House Zone,Ahmedabad,Biryani,3.6,3908,833,25,0.65,True,True,True
87,Garden Point,Ahmedabad,Biryani,3.9,4836,899,53,0.55,True,False,False
88,Kitchen's Cafe Corner,Jaipur,Fast Food,3.9,2340,389,30,0.39,True,False,False
89,Palace Hub,Delhi,Street Food,2.7,867,718,44,0.54,True,False,True
90,Cafe Garden,Mumbai,Street Food,4.3,1201,999,33,0.55,True,True,False
91,Golden's Mughlai Spot,Pune,Japanese,3.2,1215,938,51,0.9,False,False,False
92,House's Street Food Garden,Bangalore,Fast Food,4.8,4746,912,33,0.65,True,True,True
93,Kitchen's North Indian Junction,Mumbai,South Indian,4.8,2471,1346,28,0.65,False,False,False
94,Fusion's Fast Food World,Lucknow,Chinese,3.8,4031,394,31,0.78,False,False,True
95,Golden's Desserts House,Delhi,Mexican,3.1,3007,1398,40,0.39,False,False,True
96,Kitchen's Continental Tales,Delhi,Fast Food,4.5,4310,914,23,0.77,True,False,False
97,Classic's Chinese Tales,Jaipur,Chinese,4.2,2639,875,48,0.92,False,True,True
98,Flavors Kitchen,Bangalore,Japanese,3.5,730,1295,43,0.81,True,False,False
99,Golden's Street Food Hub,Jaipur,Mexican,3.4,4660,970,23,0.68,True,True,False
100,Fusion's Continental Zone,Lucknow,Mexican,3.4,1304,670,44,0.41,False,False,True
101,Taste Zone,Hyderabad,Thai,4.5,88,1094,39,0.64,False,True,False
102,Garden's Mexican Zone,Delhi,North Indian,3.8,2356,1469,51,0.62,True,False,False
103,Urban Spot,Ahmedabad,North Indian,2.6,738,940,53,0.38,True,False,True
104,Urban's Japanese Grill,Chennai,Desserts,4.7,642,715,46,0.57,True,False,True
105,Palace's Fast Food Grill,Pune,Street Food,3.5,1080,636,49,0.88,False,False,True
